index,name,lr,wd,dim,emb,batch
189,c189_lr0p001_wd1em06_dim64_emb64_batch512_seed0,0.001,1e-06,64,64,512
190,c190_lr0p001_wd1em06_dim64_emb64_batch1024_seed0,0.001,1e-06,64,64,1024
191,c191_lr0p001_wd1em06_dim64_emb64_batch2048_seed0,0.001,1e-06,64,64,2048
192,c192_lr0p001_wd1em06_dim64_emb128_batch512_seed0,0.001,1e-06,64,128,512
193,c193_lr0p001_wd1em06_dim64_emb128_batch1024_seed0,0.001,1e-06,64,128,1024
194,c194_lr0p001_wd1em06_dim64_emb128_batch2048_seed0,0.001,1e-06,64,128,2048
195,c195_lr0p001_wd1em06_dim64_emb256_batch512_seed0,0.001,1e-06,64,256,512
196,c196_lr0p001_wd1em06_dim64_emb256_batch1024_seed0,0.001,1e-06,64,256,1024
197,c197_lr0p001_wd1em06_dim64_emb256_batch2048_seed0,0.001,1e-06,64,256,2048
198,c198_lr0p001_wd1em06_dim128_emb64_batch512_seed0,0.001,1e-06,128,64,512
199,c199_lr0p001_wd1em06_dim128_emb64_batch1024_seed0,0.001,1e-06,128,64,1024
200,c200_lr0p001_wd1em06_dim128_emb64_batch2048_seed0,0.001,1e-06,128,64,2048
201,c201_lr0p001_wd1em06_dim128_emb128_batch512_seed0,0.001,1e-06,128,128,512
202,c202_lr0p001_wd1em06_dim128_emb128_batch1024_seed0,0.001,1e-06,128,128,1024
203,c203_lr0p001_wd1em06_dim128_emb128_batch2048_seed0,0.001,1e-06,128,128,2048
204,c204_lr0p001_wd1em06_dim128_emb256_batch512_seed0,0.001,1e-06,128,256,512
205,c205_lr0p001_wd1em06_dim128_emb256_batch1024_seed0,0.001,1e-06,128,256,1024
206,c206_lr0p001_wd1em06_dim128_emb256_batch2048_seed0,0.001,1e-06,128,256,2048
207,c207_lr0p001_wd1em06_dim256_emb64_batch512_seed0,0.001,1e-06,256,64,512
208,c208_lr0p001_wd1em06_dim256_emb64_batch1024_seed0,0.001,1e-06,256,64,1024
209,c209_lr0p001_wd1em06_dim256_emb64_batch2048_seed0,0.001,1e-06,256,64,2048
210,c210_lr0p001_wd1em06_dim256_emb128_batch512_seed0,0.001,1e-06,256,128,512
211,c211_lr0p001_wd1em06_dim256_emb128_batch1024_seed0,0.001,1e-06,256,128,1024
212,c212_lr0p001_wd1em06_dim256_emb128_batch2048_seed0,0.001,1e-06,256,128,2048
213,c213_lr0p001_wd1em06_dim256_emb256_batch512_seed0,0.001,1e-06,256,256,512
214,c214_lr0p001_wd1em06_dim256_emb256_batch1024_seed0,0.001,1e-06,256,256,1024
215,c215_lr0p001_wd1em06_dim256_emb256_batch2048_seed0,0.001,1e-06,256,256,2048
216,c216_lr0p001_wd1em05_dim64_emb64_batch512_seed0,0.001,1e-05,64,64,512
217,c217_lr0p001_wd1em05_dim64_emb64_batch1024_seed0,0.001,1e-05,64,64,1024
218,c218_lr0p001_wd1em05_dim64_emb64_batch2048_seed0,0.001,1e-05,64,64,2048
219,c219_lr0p001_wd1em05_dim64_emb128_batch512_seed0,0.001,1e-05,64,128,512
220,c220_lr0p001_wd1em05_dim64_emb128_batch1024_seed0,0.001,1e-05,64,128,1024
221,c221_lr0p001_wd1em05_dim64_emb128_batch2048_seed0,0.001,1e-05,64,128,2048
222,c222_lr0p001_wd1em05_dim64_emb256_batch512_seed0,0.001,1e-05,64,256,512
223,c223_lr0p001_wd1em05_dim64_emb256_batch1024_seed0,0.001,1e-05,64,256,1024
224,c224_lr0p001_wd1em05_dim64_emb256_batch2048_seed0,0.001,1e-05,64,256,2048
225,c225_lr0p001_wd1em05_dim128_emb64_batch512_seed0,0.001,1e-05,128,64,512
226,c226_lr0p001_wd1em05_dim128_emb64_batch1024_seed0,0.001,1e-05,128,64,1024
227,c227_lr0p001_wd1em05_dim128_emb64_batch2048_seed0,0.001,1e-05,128,64,2048
228,c228_lr0p001_wd1em05_dim128_emb128_batch512_seed0,0.001,1e-05,128,128,512
229,c229_lr0p001_wd1em05_dim128_emb128_batch1024_seed0,0.001,1e-05,128,128,1024
230,c230_lr0p001_wd1em05_dim128_emb128_batch2048_seed0,0.001,1e-05,128,128,2048
231,c231_lr0p001_wd1em05_dim128_emb256_batch512_seed0,0.001,1e-05,128,256,512
232,c232_lr0p001_wd1em05_dim128_emb256_batch1024_seed0,0.001,1e-05,128,256,1024
233,c233_lr0p001_wd1em05_dim128_emb256_batch2048_seed0,0.001,1e-05,128,256,2048
234,c234_lr0p001_wd1em05_dim256_emb64_batch512_seed0,0.001,1e-05,256,64,512
235,c235_lr0p001_wd1em05_dim256_emb64_batch1024_seed0,0.001,1e-05,256,64,1024
236,c236_lr0p001_wd1em05_dim256_emb64_batch2048_seed0,0.001,1e-05,256,64,2048
237,c237_lr0p001_wd1em05_dim256_emb128_batch512_seed0,0.001,1e-05,256,128,512
238,c238_lr0p001_wd1em05_dim256_emb128_batch1024_seed0,0.001,1e-05,256,128,1024
239,c239_lr0p001_wd1em05_dim256_emb128_batch2048_seed0,0.001,1e-05,256,128,2048
240,c240_lr0p001_wd1em05_dim256_emb256_batch512_seed0,0.001,1e-05,256,256,512
241,c241_lr0p001_wd1em05_dim256_emb256_batch1024_seed0,0.001,1e-05,256,256,1024
242,c242_lr0p001_wd1em05_dim256_emb256_batch2048_seed0,0.001,1e-05,256,256,2048
