index,name,win,lr,wd,dim,mask
165,c165_win4m_lr0p0003_wd0p0001_dim64_mask0p3_seed0,4m,0.0003,0.0001,64,0.3
166,c166_win4m_lr0p0003_wd0p0001_dim64_mask0p5_seed0,4m,0.0003,0.0001,64,0.5
167,c167_win4m_lr0p0003_wd0p0001_dim64_mask0p7_seed0,4m,0.0003,0.0001,64,0.7
168,c168_win4m_lr0p0003_wd0p0001_dim128_mask0p3_seed0,4m,0.0003,0.0001,128,0.3
169,c169_win4m_lr0p0003_wd0p0001_dim128_mask0p5_seed0,4m,0.0003,0.0001,128,0.5
170,c170_win4m_lr0p0003_wd0p0001_dim128_mask0p7_seed0,4m,0.0003,0.0001,128,0.7
171,c171_win4m_lr0p0003_wd0p0005_dim32_mask0p3_seed0,4m,0.0003,0.0005,32,0.3
172,c172_win4m_lr0p0003_wd0p0005_dim32_mask0p5_seed0,4m,0.0003,0.0005,32,0.5
173,c173_win4m_lr0p0003_wd0p0005_dim32_mask0p7_seed0,4m,0.0003,0.0005,32,0.7
174,c174_win4m_lr0p0003_wd0p0005_dim64_mask0p3_seed0,4m,0.0003,0.0005,64,0.3
175,c175_win4m_lr0p0003_wd0p0005_dim64_mask0p5_seed0,4m,0.0003,0.0005,64,0.5
176,c176_win4m_lr0p0003_wd0p0005_dim64_mask0p7_seed0,4m,0.0003,0.0005,64,0.7
177,c177_win4m_lr0p0003_wd0p0005_dim128_mask0p3_seed0,4m,0.0003,0.0005,128,0.3
178,c178_win4m_lr0p0003_wd0p0005_dim128_mask0p5_seed0,4m,0.0003,0.0005,128,0.5
179,c179_win4m_lr0p0003_wd0p0005_dim128_mask0p7_seed0,4m,0.0003,0.0005,128,0.7
180,c180_win4m_lr0p0003_wd0p001_dim32_mask0p3_seed0,4m,0.0003,0.001,32,0.3
181,c181_win4m_lr0p0003_wd0p001_dim32_mask0p5_seed0,4m,0.0003,0.001,32,0.5
182,c182_win4m_lr0p0003_wd0p001_dim32_mask0p7_seed0,4m,0.0003,0.001,32,0.7
183,c183_win4m_lr0p0003_wd0p001_dim64_mask0p3_seed0,4m,0.0003,0.001,64,0.3
184,c184_win4m_lr0p0003_wd0p001_dim64_mask0p5_seed0,4m,0.0003,0.001,64,0.5
185,c185_win4m_lr0p0003_wd0p001_dim64_mask0p7_seed0,4m,0.0003,0.001,64,0.7
186,c186_win4m_lr0p0003_wd0p001_dim128_mask0p3_seed0,4m,0.0003,0.001,128,0.3
187,c187_win4m_lr0p0003_wd0p001_dim128_mask0p5_seed0,4m,0.0003,0.001,128,0.5
188,c188_win4m_lr0p0003_wd0p001_dim128_mask0p7_seed0,4m,0.0003,0.001,128,0.7
189,c189_win4m_lr0p001_wd0p0001_dim32_mask0p3_seed0,4m,0.001,0.0001,32,0.3
190,c190_win4m_lr0p001_wd0p0001_dim32_mask0p5_seed0,4m,0.001,0.0001,32,0.5
191,c191_win4m_lr0p001_wd0p0001_dim32_mask0p7_seed0,4m,0.001,0.0001,32,0.7
192,c192_win4m_lr0p001_wd0p0001_dim64_mask0p3_seed0,4m,0.001,0.0001,64,0.3
193,c193_win4m_lr0p001_wd0p0001_dim64_mask0p5_seed0,4m,0.001,0.0001,64,0.5
194,c194_win4m_lr0p001_wd0p0001_dim64_mask0p7_seed0,4m,0.001,0.0001,64,0.7
195,c195_win4m_lr0p001_wd0p0001_dim128_mask0p3_seed0,4m,0.001,0.0001,128,0.3
196,c196_win4m_lr0p001_wd0p0001_dim128_mask0p5_seed0,4m,0.001,0.0001,128,0.5
197,c197_win4m_lr0p001_wd0p0001_dim128_mask0p7_seed0,4m,0.001,0.0001,128,0.7
198,c198_win4m_lr0p001_wd0p0005_dim32_mask0p3_seed0,4m,0.001,0.0005,32,0.3
199,c199_win4m_lr0p001_wd0p0005_dim32_mask0p5_seed0,4m,0.001,0.0005,32,0.5
200,c200_win4m_lr0p001_wd0p0005_dim32_mask0p7_seed0,4m,0.001,0.0005,32,0.7
201,c201_win4m_lr0p001_wd0p0005_dim64_mask0p3_seed0,4m,0.001,0.0005,64,0.3
202,c202_win4m_lr0p001_wd0p0005_dim64_mask0p5_seed0,4m,0.001,0.0005,64,0.5
203,c203_win4m_lr0p001_wd0p0005_dim64_mask0p7_seed0,4m,0.001,0.0005,64,0.7
204,c204_win4m_lr0p001_wd0p0005_dim128_mask0p3_seed0,4m,0.001,0.0005,128,0.3
205,c205_win4m_lr0p001_wd0p0005_dim128_mask0p5_seed0,4m,0.001,0.0005,128,0.5
206,c206_win4m_lr0p001_wd0p0005_dim128_mask0p7_seed0,4m,0.001,0.0005,128,0.7
207,c207_win4m_lr0p001_wd0p001_dim32_mask0p3_seed0,4m,0.001,0.001,32,0.3
208,c208_win4m_lr0p001_wd0p001_dim32_mask0p5_seed0,4m,0.001,0.001,32,0.5
209,c209_win4m_lr0p001_wd0p001_dim32_mask0p7_seed0,4m,0.001,0.001,32,0.7
210,c210_win4m_lr0p001_wd0p001_dim64_mask0p3_seed0,4m,0.001,0.001,64,0.3
211,c211_win4m_lr0p001_wd0p001_dim64_mask0p5_seed0,4m,0.001,0.001,64,0.5
212,c212_win4m_lr0p001_wd0p001_dim64_mask0p7_seed0,4m,0.001,0.001,64,0.7
213,c213_win4m_lr0p001_wd0p001_dim128_mask0p3_seed0,4m,0.001,0.001,128,0.3
214,c214_win4m_lr0p001_wd0p001_dim128_mask0p5_seed0,4m,0.001,0.001,128,0.5
215,c215_win4m_lr0p001_wd0p001_dim128_mask0p7_seed0,4m,0.001,0.001,128,0.7
216,c216_win4m_lr0p003_wd0p0001_dim32_mask0p3_seed0,4m,0.003,0.0001,32,0.3
217,c217_win4m_lr0p003_wd0p0001_dim32_mask0p5_seed0,4m,0.003,0.0001,32,0.5
218,c218_win4m_lr0p003_wd0p0001_dim32_mask0p7_seed0,4m,0.003,0.0001,32,0.7
219,c219_win4m_lr0p003_wd0p0001_dim64_mask0p3_seed0,4m,0.003,0.0001,64,0.3
220,c220_win4m_lr0p003_wd0p0001_dim64_mask0p5_seed0,4m,0.003,0.0001,64,0.5
221,c221_win4m_lr0p003_wd0p0001_dim64_mask0p7_seed0,4m,0.003,0.0001,64,0.7
222,c222_win4m_lr0p003_wd0p0001_dim128_mask0p3_seed0,4m,0.003,0.0001,128,0.3
223,c223_win4m_lr0p003_wd0p0001_dim128_mask0p5_seed0,4m,0.003,0.0001,128,0.5
224,c224_win4m_lr0p003_wd0p0001_dim128_mask0p7_seed0,4m,0.003,0.0001,128,0.7
225,c225_win4m_lr0p003_wd0p0005_dim32_mask0p3_seed0,4m,0.003,0.0005,32,0.3
226,c226_win4m_lr0p003_wd0p0005_dim32_mask0p5_seed0,4m,0.003,0.0005,32,0.5
227,c227_win4m_lr0p003_wd0p0005_dim32_mask0p7_seed0,4m,0.003,0.0005,32,0.7
228,c228_win4m_lr0p003_wd0p0005_dim64_mask0p3_seed0,4m,0.003,0.0005,64,0.3
229,c229_win4m_lr0p003_wd0p0005_dim64_mask0p5_seed0,4m,0.003,0.0005,64,0.5
230,c230_win4m_lr0p003_wd0p0005_dim64_mask0p7_seed0,4m,0.003,0.0005,64,0.7
231,c231_win4m_lr0p003_wd0p0005_dim128_mask0p3_seed0,4m,0.003,0.0005,128,0.3
232,c232_win4m_lr0p003_wd0p0005_dim128_mask0p5_seed0,4m,0.003,0.0005,128,0.5
233,c233_win4m_lr0p003_wd0p0005_dim128_mask0p7_seed0,4m,0.003,0.0005,128,0.7
234,c234_win4m_lr0p003_wd0p001_dim32_mask0p3_seed0,4m,0.003,0.001,32,0.3
235,c235_win4m_lr0p003_wd0p001_dim32_mask0p5_seed0,4m,0.003,0.001,32,0.5
236,c236_win4m_lr0p003_wd0p001_dim32_mask0p7_seed0,4m,0.003,0.001,32,0.7
237,c237_win4m_lr0p003_wd0p001_dim64_mask0p3_seed0,4m,0.003,0.001,64,0.3
238,c238_win4m_lr0p003_wd0p001_dim64_mask0p5_seed0,4m,0.003,0.001,64,0.5
239,c239_win4m_lr0p003_wd0p001_dim64_mask0p7_seed0,4m,0.003,0.001,64,0.7
240,c240_win4m_lr0p003_wd0p001_dim128_mask0p3_seed0,4m,0.003,0.001,128,0.3
241,c241_win4m_lr0p003_wd0p001_dim128_mask0p5_seed0,4m,0.003,0.001,128,0.5
242,c242_win4m_lr0p003_wd0p001_dim128_mask0p7_seed0,4m,0.003,0.001,128,0.7
