index,name,lr,wd,cap,batch,neigh
161,c161_lr3em05_wd1em05_caplarge_batch2048_neigh50_seed0,3e-05,1e-05,large,2048,50
162,c162_lr0p0001_wd0_capdefault_batch512_neigh10_seed0,0.0001,0.0,default,512,10
163,c163_lr0p0001_wd0_capdefault_batch512_neigh20_seed0,0.0001,0.0,default,512,20
164,c164_lr0p0001_wd0_capdefault_batch512_neigh50_seed0,0.0001,0.0,default,512,50
165,c165_lr0p0001_wd0_capdefault_batch1024_neigh10_seed0,0.0001,0.0,default,1024,10
166,c166_lr0p0001_wd0_capdefault_batch1024_neigh20_seed0,0.0001,0.0,default,1024,20
167,c167_lr0p0001_wd0_capdefault_batch1024_neigh50_seed0,0.0001,0.0,default,1024,50
168,c168_lr0p0001_wd0_capdefault_batch2048_neigh10_seed0,0.0001,0.0,default,2048,10
169,c169_lr0p0001_wd0_capdefault_batch2048_neigh20_seed0,0.0001,0.0,default,2048,20
170,c170_lr0p0001_wd0_capdefault_batch2048_neigh50_seed0,0.0001,0.0,default,2048,50
171,c171_lr0p0001_wd0_capmedium_batch512_neigh10_seed0,0.0001,0.0,medium,512,10
172,c172_lr0p0001_wd0_capmedium_batch512_neigh20_seed0,0.0001,0.0,medium,512,20
173,c173_lr0p0001_wd0_capmedium_batch512_neigh50_seed0,0.0001,0.0,medium,512,50
174,c174_lr0p0001_wd0_capmedium_batch1024_neigh10_seed0,0.0001,0.0,medium,1024,10
175,c175_lr0p0001_wd0_capmedium_batch1024_neigh20_seed0,0.0001,0.0,medium,1024,20
176,c176_lr0p0001_wd0_capmedium_batch1024_neigh50_seed0,0.0001,0.0,medium,1024,50
177,c177_lr0p0001_wd0_capmedium_batch2048_neigh10_seed0,0.0001,0.0,medium,2048,10
178,c178_lr0p0001_wd0_capmedium_batch2048_neigh20_seed0,0.0001,0.0,medium,2048,20
179,c179_lr0p0001_wd0_capmedium_batch2048_neigh50_seed0,0.0001,0.0,medium,2048,50
180,c180_lr0p0001_wd0_caplarge_batch512_neigh10_seed0,0.0001,0.0,large,512,10
181,c181_lr0p0001_wd0_caplarge_batch512_neigh20_seed0,0.0001,0.0,large,512,20
182,c182_lr0p0001_wd0_caplarge_batch512_neigh50_seed0,0.0001,0.0,large,512,50
183,c183_lr0p0001_wd0_caplarge_batch1024_neigh10_seed0,0.0001,0.0,large,1024,10
184,c184_lr0p0001_wd0_caplarge_batch1024_neigh20_seed0,0.0001,0.0,large,1024,20
185,c185_lr0p0001_wd0_caplarge_batch1024_neigh50_seed0,0.0001,0.0,large,1024,50
186,c186_lr0p0001_wd0_caplarge_batch2048_neigh10_seed0,0.0001,0.0,large,2048,10
187,c187_lr0p0001_wd0_caplarge_batch2048_neigh20_seed0,0.0001,0.0,large,2048,20
188,c188_lr0p0001_wd0_caplarge_batch2048_neigh50_seed0,0.0001,0.0,large,2048,50
